Word          ,Spurious_Frequency ,Normalized_Frequency ,Is_Key_Pattern
liters        ,                11 ,  4.580334699022354  ,True
townhouse     ,                15 ,  3.8352084800426414 ,True
lifers        ,                12 ,  3.801858841085749  ,True
chan          ,                14 ,  3.517811916177043  ,True
bullfights    ,                12 ,  3.497710133798889  ,True
dowd          ,                21 ,  3.188017049035446  ,True
invalides     ,                11 ,  3.143366950309459  ,True
warming       ,                19 ,  3.0766894695453186 ,True
gifted        ,                19 ,  3.042879695154711  ,True
beneficiary   ,                11 ,  3.0247493295430643 ,True
winnie        ,                12 ,  3.01526735672318   ,True
stanford      ,                12 ,  2.9147584448324073 ,True
compost       ,                12 ,  2.9147584448324073 ,True
fetus         ,                14 ,  2.8737055089896972 ,True
hideyoshi     ,                14 ,  2.833792932475951  ,True
densities     ,                12 ,  2.8207339788700714 ,True
graph         ,                11 ,  2.812486218697937  ,True
amenophis     ,                14 ,  2.7949738512091575 ,True
skimmers      ,                14 ,  2.7949738512091575 ,True
incumbent     ,                22 ,  2.7880298167962154 ,True
forgive       ,                16 ,  2.743302065724619  ,True
populist      ,                11 ,  2.717147702809871  ,True
manson        ,                13 ,  2.7065614130586644 ,True
haghia        ,                15 ,  2.6988504118818586 ,True
ao            ,                11 ,  2.67186190776304   ,True
cityel        ,                13 ,  2.6684408297761477 ,True
mls           ,                15 ,  2.6338178718365124 ,True
coordinating  ,                11 ,  2.6280608928816784 ,True
sophia        ,                19 ,  2.612283511878101  ,True
quieter       ,                15 ,  2.602462897171792  ,True
powders       ,                12 ,  2.5718456866168298 ,True
shelf         ,                13 ,  2.560260796136574  ,True
tony          ,                28 ,  2.5504136392283563 ,True
episodes      ,                19 ,  2.5403858005420066 ,True
touches       ,                12 ,  2.5345725607238325 ,True
swear         ,                17 ,  2.5025703819268146 ,True
socially      ,                17 ,  2.5025703819268146 ,True
overlook      ,                12 ,  2.4983643812849206 ,True
elevator      ,                12 ,  2.4983643812849206 ,True
guessed       ,                20 ,  2.4912465340447927 ,True
tutmosis      ,                11 ,  2.4663340687043442 ,True
naive         ,                12 ,  2.4631761505625978 ,True
corrective    ,                14 ,  2.4582300137140782 ,True
rembrandt     ,                16 ,  2.45453342722729   ,True
hilarious     ,                16 ,  2.428965370693673  ,True
penis         ,                11 ,  2.428965370693673  ,True
lc            ,                12 ,  2.4289653706936725 ,True
callers       ,                12 ,  2.3956918724649925 ,True
persuade      ,                12 ,  2.3633176579722224 ,True
correspondent ,                11 ,  2.357525212732094  ,True
karnak        ,                13 ,  2.339003690297611  ,True
diameter      ,                11 ,  2.3233581806635133 ,True
copd          ,                11 ,  2.3233581806635133 ,True
biological    ,                20 ,  2.313300353041593  ,True
fossil        ,                12 ,  2.301125088025585  ,True
minorities    ,                20 ,  2.295085389631817  ,True
favour        ,                11 ,  2.290167349511177  ,True
animated      ,                15 ,  2.2771550350253182 ,True
inferior      ,                14 ,  2.267034345980761  ,True
orrery        ,                14 ,  2.267034345980761  ,True
genes         ,                11 ,  2.257911471349048  ,True
hoc           ,                11 ,  2.257911471349048  ,True
envelopes     ,                11 ,  2.257911471349048  ,True
korean        ,                26 ,  2.2554678442155534 ,True
pressing      ,                13 ,  2.2554678442155534 ,True
xiii          ,                15 ,  2.2536792099219647 ,True
ideology      ,                16 ,  2.242121880640313  ,True
businessmen   ,                13 ,  2.228932928401253  ,True
effluent      ,                13 ,  2.228932928401253  ,True
islanders     ,                21 ,  2.2177509906333537 ,True
estimation    ,                14 ,  2.2177509906333532 ,True
processions   ,                14 ,  2.2177509906333532 ,True
remedy        ,                12 ,  2.213740591011955  ,True
supplementary ,                23 ,  2.2052448760245187 ,True
entrances     ,                11 ,  2.1960508830929095 ,True
retailers     ,                12 ,  2.1860688336243057 ,True
transfers     ,                14 ,  2.170564799343282  ,True
paragraphs    ,                18 ,  2.1680021490488977 ,True
porn          ,                12 ,  2.1327500815846885 ,True
quo           ,                15 ,  2.1223969258488404 ,True
bless         ,                11 ,  2.1093646640234525 ,True
mileage       ,                13 ,  2.10510332126785   ,True
lottery       ,                20 ,  2.0969485214621635 ,True
writings      ,                13 ,  2.081970317737434  ,True
fare          ,                15 ,  2.081970317737434  ,True
cheating      ,                12 ,  2.081970317737434  ,True
mistaken      ,                17 ,  2.081970317737434  ,True
dive          ,                27 ,  2.071012579223026  ,True
meantime      ,                17 ,  2.064620565089622  ,True
cottages      ,                11 ,  2.055278390586954  ,True
modeled       ,                14 ,  2.0403309113826853 ,True
viking        ,                13 ,  2.037196762517274  ,True
securities    ,                50 ,  2.035445841363413  ,True
kills         ,                12 ,  2.033552403371447  ,True
skeptical     ,                17 ,  2.030774326317661  ,True
viruses       ,                11 ,  2.0292622084276255 ,True
minimal       ,                23 ,  2.019260368407993  ,True
hurting       ,                13 ,  2.015524456533048  ,True
disadvantage  ,                12 ,  2.0101782378154534 ,True
strain        ,                12 ,  2.0101782378154534 ,True
assassinated  ,                12 ,  2.0101782378154534 ,True
aims          ,                12 ,  2.0101782378154534 ,True
brandon       ,                11 ,  2.0038964308222798 ,True
