Word          ,Spurious_Frequency ,Normalized_Frequency ,Is_Key_Pattern
dutchman      ,                11 ,  5.597563165709285  ,True
workfare      ,                11 ,  4.867446231051552  ,True
shepard       ,                12 ,  4.361737531721521  ,True
extremists    ,                11 ,  3.99825940407806   ,True
pataki        ,                12 ,  3.9396338996194378 ,True
shoemaker     ,                13 ,  3.891354072418219  ,True
liters        ,                12 ,  3.4893900253772165 ,True
yellowstone   ,                11 ,  3.392462524672294  ,True
modesty       ,                17 ,  3.327222860736288  ,True
suckers       ,                12 ,  3.3007743483297993 ,True
jahangir      ,                12 ,  3.3007743483297993 ,True
dishwasher    ,                11 ,  3.2926842151231086 ,True
unlv          ,                19 ,  3.2774637950223853 ,True
stepson       ,                12 ,  3.131503868928271  ,True
hose          ,                12 ,  3.131503868928271  ,True
eastwood      ,                12 ,  3.131503868928271  ,True
mcgrath       ,                11 ,  3.109757314282936  ,True
stormed       ,                12 ,  3.0532162722050646 ,True
postwar       ,                17 ,  3.0353612062857365 ,True
homosexual    ,                16 ,  3.01552224415315   ,True
reservoir     ,                13 ,  3.0069554195958967 ,True
viral         ,                11 ,  2.9460858766890974 ,True
shaken        ,                11 ,  2.9460858766890974 ,True
clown         ,                13 ,  2.940134188049321  ,True
townhouse     ,                16 ,  2.8568105470924583 ,True
preacher      ,                14 ,  2.849668520724727  ,True
ranchers      ,                12 ,  2.8402011834465717 ,True
victimized    ,                11 ,  2.7987815828546423 ,True
malamud       ,                15 ,  2.7756511565500586 ,True
obese         ,                12 ,  2.7756511565500586 ,True
condoms       ,                13 ,  2.7563758012962385 ,True
charleston    ,                14 ,  2.7400658853122373 ,True
stanford      ,                16 ,  2.713970019737835  ,True
exclusion     ,                11 ,  2.6655062693853737 ,True
partying      ,                11 ,  2.6655062693853737 ,True
numerical     ,                12 ,  2.654970671482665  ,True
lifers        ,                12 ,  2.654970671482665  ,True
winnie        ,                15 ,  2.632082993280228  ,True
memoir        ,                19 ,  2.6131130257610913 ,True
belgium       ,                14 ,  2.5443468935042204 ,True
oakland       ,                11 ,  2.5443468935042204 ,True
strapped      ,                11 ,  2.5443468935042204 ,True
hereditary    ,                13 ,  2.54434689350422   ,True
tutmosis      ,                16 ,  2.5052030951426167 ,True
autobiography ,                12 ,  2.4924214466980117 ,True
futures       ,                11 ,  2.487805851426349  ,True
mace          ,                17 ,  2.4368392782857318 ,True
naive         ,                17 ,  2.4368392782857318 ,True
teenage       ,                16 ,  2.4304209131980614 ,True
defendant     ,                14 ,  2.4149733226480734 ,True
xii           ,                13 ,  2.405564335676717  ,True
rained        ,                17 ,  2.402994288309541  ,True
zionism       ,                12 ,  2.3946794291804427 ,True
gibson        ,                12 ,  2.3946794291804427 ,True
alleviate     ,                15 ,  2.3853252126602067 ,True
transit       ,                15 ,  2.3853252126602067 ,True
offs          ,                26 ,  2.383892584904855  ,True
peru          ,                11 ,  2.381941772642249  ,True
reigning      ,                11 ,  2.381941772642249  ,True
sweden        ,                16 ,  2.3599739302068135 ,True
kilometer     ,                12 ,  2.3486279016962035 ,True
unreliable    ,                12 ,  2.3486279016962035 ,True
fifties       ,                12 ,  2.3486279016962035 ,True
lottery       ,                32 ,  2.342995700493095  ,True
paints        ,                13 ,  2.321158569512622  ,True
fuss          ,                12 ,  2.3043141677019356 ,True
fetus         ,                16 ,  2.293495791327748  ,True
rap           ,                27 ,  2.2899122041537985 ,True
mel           ,                11 ,  2.2847196594731773 ,True
terminated    ,                11 ,  2.2847196594731773 ,True
homeowners    ,                11 ,  2.2847196594731773 ,True
incompetent   ,                12 ,  2.261641683114863  ,True
trinfan       ,                12 ,  2.261641683114863  ,True
winters       ,                24 ,  2.240892676847754  ,True
wedlock       ,                11 ,  2.239025266283714  ,True
